,Name,Price,Rooms,Area
0,Apartamento,395000,3,"105,28 m²"
1,Apartamento,415000,2,"107,80 m²"
2,Apartamento,315000,1,"81,10 m²"
3,T3 Novo Amp,370000,3,130 m²
4,Apartamento,2500000,3,"186,18 m²"
5,Apartamento,535000,3,"132,70 m²"
6,Apartamento,1900000,3,129 m²
7,Casa do Esp,535000,4,95 m²
8,Casa do Esp,285000,1,30 m²
9,Apartamento,275000,2,"84,09 m²"
10,Apartamento,205000,1,"65,97 m²"
11,Apartamento,749000,3,122 m²
12,Apartamento,,4,180 m²
13,Apartamento,1100000,2,"104,82 m²"
14,Apartamento,725000,1,"67,85 m²"
15,Apartamento,1250000,3,"116,18 m²"
16,T2 situado ,385000,2,86 m²
17,Apartamento,998000,3,121 m²
18,Penthouse T,3600000,4,209 m²
19,Apartamento,805035,3,"123,40 m²"
20,Apartamento,1458000,4,151 m²
21,Apartamento,1200000,3,"153,34 m²"
22,Apartamento,715500,3,"123,33 m²"
23,Apartamento,441705,1,"80,31 m²"
